time_s,q_in_norm,cod_in_norm,load_disturbance_mgL,do_cascade,do_feedforward_cascade,air_sp_cascade,air_sp_feedforward_cascade,air_flow_cascade,air_flow_feedforward_cascade,blower_u_cascade,blower_u_feedforward_cascade,feedforward_air_base
74.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
75.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
75.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
76.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
76.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
77.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
77.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
78.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
78.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
79.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
79.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
80.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
80.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
81.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
81.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
82.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
82.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
83.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
83.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
84.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
84.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
85.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
85.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
86.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
86.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
87.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
87.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
88.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
88.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
89.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
89.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
90.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
90.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
91.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
91.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
92.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
92.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
93.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
93.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
94.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
94.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
95.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
95.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
96.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
96.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
97.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
97.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
98.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
98.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
99.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
99.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
100.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
100.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
101.0,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
101.5,1.000000,1.000000,-0.000000,2.000000,2.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
